rowid,FILM,STARS,RATING,VOTES
1,Fifty Shades of Grey (2015),4.0,3.9,34846
2,Jurassic World (2015),4.5,4.5,34390
3,American Sniper (2015),5.0,4.8,34085
4,Furious 7 (2015),5.0,4.8,33538
5,Inside Out (2015),4.5,4.5,15749
6,The Hobbit: The Battle of the Five Armies (2014),4.5,4.3,15337
7,Kingsman: The Secret Service (2015),4.5,4.2,15205
8,Minions (2015),4.0,4.0,14998
9,Avengers: Age of Ultron (2015),5.0,4.5,14846
10,Into the Woods (2014),3.5,3.4,13055
11,Cinderella (2015),5.0,4.5,12640
12,Ant-Man (2015),5.0,4.5,12055
13,Mad Max: Fury Road (2015),4.5,4.3,10509
14,San Andreas (2015),4.5,4.3,9749
15,Unbroken (2014),4.5,4.1,9443
16,Spy (2015),4.5,4.3,9418
17,Magic Mike XXL (2015),4.5,4.4,9363
18,Trainwreck (2015),4.5,4.1,8381
19,Mission: Impossible - Rogue Nation (2015),4.5,4.4,8357
20,Straight Outta Compton (2015),5.0,4.8,8096
21,Tomorrowland (2015),4.0,3.7,8077
22,The Imitation Game (2014),5.0,4.6,8055
23,Home (2015),4.5,4.4,7705
24,The Divergent Series: Insurgent (2015),4.5,4.2,7123
25,Selma (2014),5.0,4.6,7025
26,Annie (2014),4.5,4.2,6835
27,Taken 3 (2015),4.5,4.1,6757
28,The Wedding Ringer (2015),4.5,4.4,6506
29,Ted 2 (2015),4.5,4.1,6437
30,Fantastic Four (2015),3.0,2.7,6288
31,Terminator Genisys (2015),4.5,4.2,6272
32,Get Hard (2015),4.0,3.9,5933
33,Southpaw (2015),5.0,4.6,5597
34,Night at the Museum: Secret of the Tomb (2014),4.5,4.1,5445
35,Focus (2015),4.0,3.9,4933
36,Pitch Perfect 2 (2015),4.5,4.2,4577
37,The SpongeBob Movie: Sponge Out of Water (2015),3.5,3.3,4493
38,Entourage (2015),4.5,4.2,4279
39,Birdman (2014),4.0,3.7,4194
40,Jupiter Ascending (2015),3.5,3.4,4122
41,Paddington (2015),4.5,4.3,4045
42,Pixels (2015),4.5,4.1,3886
43,Vacation (2015),4.0,3.8,3815
44,Dragon Ball Z: Resurrection 'F' (2015),5.0,4.8,3740
45,Chappie (2015),4.0,3.8,3642
46,Ex Machina (2015),4.5,4.1,3458
47,Max (2015),4.5,4.5,3412
48,"McFarland, USA (2015)",5.0,4.6,3364
49,The Age of Adaline (2015),4.5,4.2,3325
50,Insidious: Chapter 3 (2015),4.5,4.1,3276
51,Top Five (2014),4.0,3.5,3223
52,Paul Blart: Mall Cop 2 (2015),3.5,3.5,3054
53,The Boy Next Door (2015),4.0,3.6,2800
54,Poltergeist (2015),3.0,2.8,2704
55,The Man From U.N.C.L.E. (2015),4.5,4.1,2686
56,The Gift (2015),4.0,3.7,2680
57,Hot Pursuit (2015),4.0,3.7,2618
58,The Longest Ride (2015),4.5,4.5,2603
59,Unfriended (2015),3.0,2.7,2507
60,Woman in Gold (2015),4.5,4.4,2435
61,Aloha (2015),3.5,3.1,2284
62,The DUFF (2015),4.5,4.2,2273
63,Dope (2015),4.5,4.3,2195
64,It Follows (2015),3.0,2.9,2097
65,Run All Night (2015),4.5,4.1,2066
66,Baahubali: The Beginning (2015),5.0,4.6,1922
67,The Gallows (2015),3.0,2.9,1896
68,The Second Best Exotic Marigold Hotel (2015),4.0,3.9,1870
69,Black or White (2015),4.5,4.2,1862
70,Project Almanac (2015),4.0,3.7,1834
71,Do You Believe? (2015),5.0,4.5,1793
72,Paper Towns (2015),4.0,3.8,1750
73,The Lazarus Effect (2015),3.0,3.0,1651
74,Big Eyes (2014),4.0,3.8,1501
75,Ricki and the Flash (2015),4.0,3.7,1462
76,Blackhat (2015),3.0,2.8,1430
77,Self/less (2015),4.0,3.8,1415
78,Mr. Holmes (2015),4.0,4.0,1348
79,The Woman In Black 2 Angel of Death (2015),3.0,3.0,1333
80,Still Alice (2015),4.5,4.1,1258
81,Seventh Son (2015),3.5,3.2,1213
82,Mortdecai (2015),3.5,3.2,1196
83,Strange Magic (2015),3.5,3.4,1117
84,Inherent Vice (2014),3.0,2.9,1078
85,Bajrangi Bhaijaan (2015),5.0,4.6,1035
86,Hot Tub Time Machine 2 (2015),3.5,3.0,1021
87,The Gunman (2015),3.5,3.4,996
88,Sinister 2 (2015),3.5,3.3,973
89,Hitman: Agent 47 (2015),4.0,3.9,917
90,Shaun the Sheep Movie (2015),4.5,4.0,896
91,Love & Mercy (2015),4.5,4.0,864
92,Unfinished Business (2015),3.5,3.2,821
93,The Loft (2015),4.0,3.6,811
94,Little Boy (2015),4.5,4.3,811
95,Far From The Madding Crowd (2015),4.5,4.0,804
96,Amy (2015),4.5,4.4,729
