rowid,MOVIE,ACTOR,CHARACTER_NAME,TYPE,BILLING,GENDER
1,Tyler Perry’s Boo! A Madea Halloween,Tyler Perry,Madea/Joe/Brian,Leading,1,Male
2,Tyler Perry’s Boo! A Madea Halloween,Cassi Davis,Aunt Bam,Supporting,2,Female
3,Tyler Perry’s Boo! A Madea Halloween,Patrice Lovely,Hattie,Supporting,3,Female
4,Tyler Perry’s Boo! A Madea Halloween,Yousef Erakat,Jonathan,Supporting,4,Male
5,Tyler Perry’s Boo! A Madea Halloween,Lexy Panterra,Leah,Supporting,5,Female
6,Tyler Perry’s Boo! A Madea Halloween,Andre Hall,Quinton,Supporting,6,Male
7,Tyler Perry’s Boo! A Madea Halloween,Liza Koshy,Aday,Supporting,7,Female
8,Tyler Perry’s Boo! A Madea Halloween,Diamond White,Tiffany,Supporting,8,Female
9,Tyler Perry’s Boo! A Madea Halloween,Brock O’Hurn,Horse,Supporting,9,Male
10,Tyler Perry’s Boo! A Madea Halloween,Bella Thorne,Rain,Supporting,10,Female
11,Tyler Perry’s Boo! A Madea Halloween,Kian Lawley,Bean Boy,Supporting,11,Male
12,Tyler Perry’s Boo! A Madea Halloween,J.C. Caylen,Mikey,Supporting,12,Male
13,Tyler Perry’s Boo! A Madea Halloween,Jimmy Tatro,Sean,Supporting,13,Male
14,Tyler Perry’s Boo! A Madea Halloween,Michael Ray Stevenson,Himself/Rap Artist,Cameo,14,Male
15,Tyler Perry’s Boo! A Madea Halloween,Mike Tornabene,Dino,Supporting,15,Male
16,Tyler Perry’s Boo! A Madea Halloween,Joey Nappo,Willie,Supporting,16,Male
17,Tyler Perry’s Boo! A Madea Halloween,Dee Dubois,BJ,Supporting,17,Male
18,Tyler Perry’s Boo! A Madea Halloween,Javon Johnson,Reverend,Supporting,18,Male
19,Tyler Perry’s Boo! A Madea Halloween,Angela Ray,Alice,Supporting,19,Female
20,Tyler Perry’s Boo! A Madea Halloween,Christine Horn,Mother,Supporting,20,Unknown
21,Tyler Perry’s Boo! A Madea Halloween,Jason Vail,Police Officer #1,Supporting,21,Male
22,Tyler Perry’s Boo! A Madea Halloween,Andrew Rush,Police Officer #2,Supporting,22,Male
23,Tyler Perry’s Boo! A Madea Halloween,Dominique,Police Officer #3,Supporting,23,Female
24,Tyler Perry’s Boo! A Madea Halloween,Thomas Miles,Police Officer #4,Supporting,24,Male
25,Tyler Perry’s Boo! A Madea Halloween,Lavell Crawford,Prisoner 1,Supporting,25,Male
26,Tyler Perry’s Boo! A Madea Halloween,Corey Holcomb,Prisoner 2,Supporting,26,Male
27,Tyler Perry’s Boo! A Madea Halloween,Aaron Beelner,Prisoner 3,Supporting,27,Male
28,Tyler Perry’s Boo! A Madea Halloween,Bill Humphries,Prisoner 4,Supporting,28,Male
29,Tyler Perry’s Boo! A Madea Halloween,Adele Givens,Female Prisoner,Supporting,29,Unknown
30,Tyler Perry’s Boo! A Madea Halloween,Davison Willis,Kid 1,Supporting,30,Male
31,Tyler Perry’s Boo! A Madea Halloween,Abraham Clinkscales,Kid 2,Supporting,31,Male
32,Tyler Perry’s Boo! A Madea Halloween,Coletrane Williams,Frat Guy #2,Supporting,32,Male
33,Tyler Perry’s Boo! A Madea Halloween,Khalib McAdams,Frat Guy #2,Supporting,33,Male
34,Tyler Perry’s Boo! A Madea Halloween,Will Kommor,Frat Guy #3,Supporting,34,Male
35,Tyler Perry’s Boo! A Madea Halloween,Jason Jamal Ligon,Frat Guy #4,Supporting,35,Male
36,Tyler Perry’s Boo! A Madea Halloween,R.J. Shearer,Frat Guy #5,Supporting,36,Male
37,Tyler Perry’s Boo! A Madea Halloween,Ahmed Zakzouk,Frat Guy #6,Supporting,37,Male
38,Tyler Perry’s Boo! A Madea Halloween,Michael Hampton,Frat Guy #7,Supporting,38,Male
39,Tyler Perry’s Boo! A Madea Halloween,Deance’ Wyatt,Frat Guy #8,Supporting,39,Male
40,Tyler Perry’s Boo! A Madea Halloween,Bradley Martyn,Frat Guy #9,Supporting,40,Male
41,Tyler Perry’s Boo! A Madea Halloween,Mario Rodriguez,Frat Guy #10,Supporting,41,Male
42,Tyler Perry’s Boo! A Madea Halloween,Cody Griffis,Newscaster V.O.,Supporting,42,Male
43,Hidden Figures,Taraji P. Henson,Katherine Johnson,Lead Ensemble Member,1,Female
44,Hidden Figures,Octavia Spencer,Dorothy Vaughan,Lead Ensemble Member,2,Female
45,Hidden Figures,Janelle Monae,Mary Jackson,Lead Ensemble Member,3,Female
46,Hidden Figures,Kevin Costner,Al Harrison,Lead Ensemble Member,4,Male
47,Hidden Figures,Kirsten Dunst,Vivian Mitchell,Lead Ensemble Member,5,Female
48,Hidden Figures,Jim Parsons,Paul Stafford,Lead Ensemble Member,6,Male
49,Hidden Figures,Mahershala Ali,Jim Johnson,Supporting,7,Unknown
50,Hidden Figures,Kimberly Quinn,Ruth,Supporting,8,Female
51,Hidden Figures,Glen Powell,John Glenn,Supporting,9,Male
52,Hidden Figures,Aldis Hodge,Levi Jackson,Supporting,10,Male
53,Hidden Figures,Ariana Neal,Joylette,Supporting,11,Female
54,Hidden Figures,Jaiden Kaine,Joshua Coleman,Supporting,12,Unknown
55,Hidden Figures,Wilbur Fitzgerald,Senator Patrick,Supporting,13,Male
56,Hidden Figures,Maria Howell,Ms. Sumner,Supporting,14,Female
57,Hidden Figures,Scott Michael Morgan,Bill Calhoun,Supporting,15,Male
58,Hidden Figures,Cullen Moss,Mission Control Commander,Supporting,16,Male
59,Hidden Figures,Rhoda Griffis,White Librarian,Supporting,17,Unknown
60,Hidden Figures,Dane Davenport,Alan Shepard,Supporting,18,Male
61,Hidden Figures,Bob Jennings,Navy Officer,Supporting,19,Male
62,Hidden Figures,Alkoya Brunson,Kenneth Vaughn,Supporting,20,Male
63,Hidden Figures,Ron Clinton Smith,White Cop,Supporting,21,Male
64,Hidden Figures,Joe Knezevich,Wind Tunnel Engineer,Supporting,22,Male
65,Hidden Figures,Kurt Krause,Sam Turner,Supporting,23,Male
66,Hidden Figures,Olek Krupa,Karl Zielinski,Supporting,24,Unknown
67,Hidden Figures,Ken Strunk,Jim Webb,Supporting,25,Unknown
68,Hidden Figures,Saniyya Sidney,Constance Johnson,Supporting,26,Female
69,Hidden Figures,Zani Jones Mbayise,Kathy Johnson,Supporting,27,Female
70,Hidden Figures,Trey Stokes,Levi Jr,Supporting,28,Male
71,Hidden Figures,Selah Kimbro Jones,Carolyn Marie Jackson,Supporting,29,Female
72,Hidden Figures,Karan Kendrick,Younger Joylette Coleman,Supporting,30,Female
73,Hidden Figures,Corey Parker,Howard Vaughan,Supporting,31,Unknown
74,Hidden Figures,Ashton Tyler,Leonard Vaughn,Supporting,32,Male
75,Hidden Figures,Lidya Jewett,Young Katherine Coleman,Supporting,33,Female
76,Hidden Figures,Donna Biscoe,Mrs. Joylette Coleman,Supporting,34,Female
77,Hidden Figures,Gregory Alan Williams,Marion Smithson,Supporting,35,Male
78,Hidden Figures,Arnell Powell,Professor Graves,Supporting,36,Male
79,Hidden Figures,Bob Bost,Eisenhower,Supporting,37,Male
80,Hidden Figures,Crystal Brown,Bernie,Supporting,38,Female
81,Hidden Figures,Tequilla Whitfield,Eleanor,Supporting,39,Female
82,Hidden Figures,Robert G. McKay,Pastor Ayres,Supporting,40,Male
83,Hidden Figures,Evan Holtzman,Deke Slayton,Supporting,41,Male
84,Hidden Figures,Travis Smith,Scott Carpenter,Supporting,42,Male
85,Hidden Figures,Karen Wheeling Reynolds,Court Clerk #1,Supporting,43,Female
86,Hidden Figures,Paul Ryden,TV Reporter #1 at Cape Canaveral,Supporting,44,Male
87,Hidden Figures,Gary Weeks,Reporter at Press Conference,Supporting,45,Male
88,Hidden Figures,Jon Edwin Wright,TV News Reporter,Supporting,46,Male
89,Hidden Figures,John Atwood,Newscaster #1,Supporting,47,Male
90,Hidden Figures,Michael Hartson,Night School Professor,Supporting,48,Male
91,Hidden Figures,Afemo Omilami,Man Outside Store,Supporting,49,Unknown
92,Hidden Figures,Katie Kneeland,Court Clerk #2,Supporting,50,Female
93,Hidden Figures,Amy Tipton,Crying Woman,Supporting,51,Female
94,Hidden Figures,Chris Cavalier,IBM Technician,Supporting,52,Male
95,Hidden Figures,Frank Hoyt Taylor,Judge,Supporting,53,Male
96,Hidden Figures,Elijah Everett,Crying Man,Supporting,54,Male
97,Hidden Figures,Andre Pushkin,Russian Scientist,Supporting,55,Male
98,Hidden Figures,Randall Newsome,Russian Scientist #2,Supporting,56,Male
99,Hidden Figures,Greg Tresan,K9 Protest Cop,Supporting,57,Male
100,Hidden Figures,Howie Johnson,Library Security Guard,Supporting,58,Male
101,Hidden Figures,David Kallaway,NASA Security Guard,Supporting,59,Male
102,Hidden Figures,Maiya Boyd,Kid,Supporting,60,Female
103,Hidden Figures,Paige Nicollette,Eunice,Supporting,61,Female
104,Hidden Figures,Trey McGriff,TV Cameraman,Supporting,62,Male
105,Hidden Figures,Devin McGee,Gus Grissom,Supporting,63,Male
106,Hidden Figures,Kamryn Johnson,Kathryn Vaughn,Supporting,64,Female
107,Hidden Figures,Chanel Young,IBM Worker,Supporting,65,Unknown
108,Hidden Figures,Jeff Glover,NASA Engineer,Supporting,66,Male
109,Hidden Figures,Doug Stroup,NASA Task Force,Supporting,67,Male
110,Hidden Figures,Cody Carrera,NASA Employee,Supporting,68,Male
111,Hidden Figures,Kenneth Jones,NASA Core Engineer/Delivery Guy,Supporting,69,Male
112,Hidden Figures,Joe Hardy Jr,Gordon Cooper,Supporting,70,Male
113,Hidden Figures,Matthew J. Millard,NASA Engineer,Supporting,71,Male
114,Hidden Figures,Juliette Sicard,NASA New Recruit,Supporting,72,Female
115,Hidden Figures,Cyndy Powell,NASA Woman,Supporting,73,Female
116,Hidden Figures,Madison Alsobrook,Elementary School Student,Supporting,74,Female
117,Hidden Figures,Kate Harper,Vivian’s Assistant,Supporting,75,Female
