rowid,movie,type,word,minutes_in
1,Reservoir Dogs,word,dick,0.4
2,Reservoir Dogs,word,dicks,0.43
3,Reservoir Dogs,word,fucked,0.55
4,Reservoir Dogs,word,fucking,0.61
5,Reservoir Dogs,word,bullshit,0.61
6,Reservoir Dogs,word,fuck,0.66
7,Reservoir Dogs,word,shit,0.9
8,Reservoir Dogs,word,fuck,1.43
9,Reservoir Dogs,word,dicks,1.56
10,Reservoir Dogs,word,fuck,1.66
11,Reservoir Dogs,word,dick,1.75
12,Reservoir Dogs,word,dick,1.75
13,Reservoir Dogs,word,dick,1.75
14,Reservoir Dogs,word,dick,1.75
15,Reservoir Dogs,word,dick,1.75
16,Reservoir Dogs,word,dick,1.75
17,Reservoir Dogs,word,dick,1.75
18,Reservoir Dogs,word,dicks,1.75
19,Reservoir Dogs,word,motherfucker,1.83
20,Reservoir Dogs,word,dick,1.96
21,Reservoir Dogs,word,pussy,2.15
22,Reservoir Dogs,word,fucks,2.18
23,Reservoir Dogs,word,fuck,2.3
24,Reservoir Dogs,word,fucking,2.45
25,Reservoir Dogs,word,hell,2.48
26,Reservoir Dogs,word,fucking,2.51
27,Reservoir Dogs,word,fucking,2.81
28,Reservoir Dogs,word,dick,2.86
29,Reservoir Dogs,word,jap,2.93
30,Reservoir Dogs,word,fuck,3.05
31,Reservoir Dogs,word,shit,3.2
32,Reservoir Dogs,word,fucking,3.4
33,Reservoir Dogs,word,fucking,3.55
34,Reservoir Dogs,word,fucking,3.7
35,Reservoir Dogs,word,motherfucker,3.93
36,Reservoir Dogs,word,motherfucker,3.98
37,Reservoir Dogs,word,shit,4.35
38,Reservoir Dogs,word,shit,4.76
39,Reservoir Dogs,word,fucking,4.86
40,Reservoir Dogs,word,dick,5.25
41,Reservoir Dogs,word,fucking,5.41
42,Reservoir Dogs,word,fucking,5.51
43,Reservoir Dogs,word,fucking,5.55
44,Reservoir Dogs,word,fucking,5.61
45,Reservoir Dogs,word,bullshit,6.23
46,Reservoir Dogs,word,fuck,6.46
47,Reservoir Dogs,word,fucked,6.58
48,Reservoir Dogs,word,fucks,6.66
49,Reservoir Dogs,word,bullshit,6.81
50,Reservoir Dogs,word,fucking,6.86
51,Reservoir Dogs,word,fucking,6.73
52,Reservoir Dogs,word,bastard,7.38
53,Reservoir Dogs,word,goddamn,7.41
54,Reservoir Dogs,word,goddamn,7.58
55,Reservoir Dogs,word,shit,9.63
56,Reservoir Dogs,word,fucking,9.96
57,Reservoir Dogs,word,shit,10.01
58,Reservoir Dogs,word,fucking,10.08
59,Reservoir Dogs,word,shit,10.26
60,Reservoir Dogs,word,goddamn,11.13
61,Reservoir Dogs,word,fucking,11.13
62,Reservoir Dogs,word,fucking,11.85
63,Reservoir Dogs,word,fucking,12.06
64,Reservoir Dogs,word,fucking,12.08
65,Reservoir Dogs,word,fucking,12.43
66,Reservoir Dogs,word,fucking,12.45
67,Reservoir Dogs,word,fucking,12.9
68,Reservoir Dogs,word,fucking,13.73
69,Reservoir Dogs,word,fuck,14.38
70,Reservoir Dogs,word,fucking,14.66
71,Reservoir Dogs,word,fucking,14.95
72,Reservoir Dogs,word,fucking,15.38
73,Reservoir Dogs,word,fucking,15.41
74,Reservoir Dogs,word,shit,15.45
75,Reservoir Dogs,word,fuck,15.51
76,Reservoir Dogs,word,fuck,15.65
77,Reservoir Dogs,word,fucking,15.75
78,Reservoir Dogs,word,fucked,15.86
79,Reservoir Dogs,word,fucked,15.88
80,Reservoir Dogs,word,fucked,15.93
81,Reservoir Dogs,word,fuck,16.45
82,Reservoir Dogs,word,motherfuckers,16.6
83,Reservoir Dogs,word,fucking,16.65
84,Reservoir Dogs,word,fuck,16.75
85,Reservoir Dogs,word,fucking,16.86
86,Reservoir Dogs,word,fucking,17.56
87,Reservoir Dogs,word,fuck,17.63
88,Reservoir Dogs,word,fucking,17.75
89,Reservoir Dogs,word,fucking,17.95
90,Reservoir Dogs,word,fucking,18.0
91,Reservoir Dogs,word,shit,20.13
92,Reservoir Dogs,word,fucking,20.16
93,Reservoir Dogs,word,fuck,20.68
94,Reservoir Dogs,word,fuck,20.73
95,Reservoir Dogs,word,fuck,20.93
96,Reservoir Dogs,word,fucking,20.96
97,Reservoir Dogs,word,asshole,20.98
98,Reservoir Dogs,word,fuck,21.0
99,Reservoir Dogs,word,fucking,21.01
100,Reservoir Dogs,word,fuck,21.2
101,Reservoir Dogs,word,fucking,22.18
102,Reservoir Dogs,word,fuck,22.21
103,Reservoir Dogs,word,motherfucker,22.46
104,Reservoir Dogs,word,fuck,22.6
105,Reservoir Dogs,word,goddamn,22.71
106,Reservoir Dogs,word,ass,22.8
107,Reservoir Dogs,word,fuck,23.0
108,Reservoir Dogs,word,fucking,23.2
109,Reservoir Dogs,word,assholes,23.35
110,Reservoir Dogs,word,fucking,24.01
111,Reservoir Dogs,word,fuck,24.05
112,Reservoir Dogs,word,fucking,24.6
113,Reservoir Dogs,word,fuck,24.66
114,Reservoir Dogs,word,fucking,24.76
115,Reservoir Dogs,word,fucking,25.13
116,Reservoir Dogs,word,shit,25.35
117,Reservoir Dogs,word,fuck,25.45
118,Reservoir Dogs,word,fucking,25.75
119,Reservoir Dogs,word,bullshit,25.76
120,Reservoir Dogs,word,fucking,26.01
121,Reservoir Dogs,word,fucking,26.06
122,Reservoir Dogs,word,fucking,26.16
123,Reservoir Dogs,word,fucking,26.26
124,Reservoir Dogs,word,hell,27.21
125,Reservoir Dogs,word,shit,28.6
126,Reservoir Dogs,word,fucking,28.6
127,Reservoir Dogs,word,fucking,28.83
128,Reservoir Dogs,word,shit,28.83
129,Reservoir Dogs,word,shit,29.16
130,Reservoir Dogs,word,hell,29.18
131,Reservoir Dogs,word,fucking,31.13
132,Reservoir Dogs,word,fuck,31.5
133,Reservoir Dogs,word,fucking,31.6
134,Reservoir Dogs,word,fuck,31.8
135,Reservoir Dogs,word,fuck,31.81
136,Reservoir Dogs,word,fucking,31.88
137,Reservoir Dogs,word,hell,32.11
138,Reservoir Dogs,word,fucking,32.43
139,Reservoir Dogs,word,fuck,32.55
140,Reservoir Dogs,word,fucking,32.58
141,Reservoir Dogs,word,shit,32.6
142,Reservoir Dogs,word,fuck,32.63
143,Reservoir Dogs,word,fucking,32.7
144,Reservoir Dogs,word,shit,32.91
145,Reservoir Dogs,word,asshole,33.76
146,Reservoir Dogs,word,shit,33.81
147,Reservoir Dogs,word,fucking,33.9
148,Reservoir Dogs,word,fucking,34.3
149,Reservoir Dogs,word,fuck,34.38
150,Reservoir Dogs,word,fucking,34.46
151,Reservoir Dogs,word,fucking,34.56
152,Reservoir Dogs,word,fucking,34.6
153,Reservoir Dogs,word,fuck,34.71
154,Reservoir Dogs,word,fucking,34.75
155,Reservoir Dogs,word,fuck,34.85
156,Reservoir Dogs,word,asshole,34.98
157,Reservoir Dogs,word,assholes,35.48
158,Reservoir Dogs,word,fuck,35.5
159,Reservoir Dogs,word,fucking,35.6
160,Reservoir Dogs,word,fucking,35.61
161,Reservoir Dogs,word,n-word ,35.61
162,Reservoir Dogs,word,n-word ,35.63
163,Reservoir Dogs,word,fucking,35.71
164,Reservoir Dogs,word,fucking,35.83
165,Reservoir Dogs,word,fuck,35.88
166,Reservoir Dogs,word,asses,35.95
167,Reservoir Dogs,word,fuck,36.01
